10-3/
PRISM,without,1.77,1.75,1.91,1.77,1.78,1.81,1.85,1.84,1.87,1.83,1.82,1.91,1.83,1.82,1.81,1.77,1.79,1.84,1.82,1.80,1.82,1.82,1.77,1.76,1.79,1.84,1.82,1.86,1.88,1.76,1.77,1.83,1.82,1.76,1.84,1.76,1.82,1.91,1.82,1.82,1.91,1.81,1.84,1.82,1.79,1.84,1.91,1.78,1.82,1.90
PRISM,standard,1.83,1.88,1.88,1.90,1.84,2.02,1.88,1.86,1.85,1.83,1.86,1.85,1.82,1.87,1.89,1.84,1.85,1.80,1.85,1.86,1.82,1.82,1.82,1.85,1.85,1.83,1.91,1.84,1.86,1.84,1.84,1.91,1.80,1.84,1.85,1.87,1.84,1.83,1.83,1.86,2.00,1.88,1.85,1.85,1.88,1.85,1.82,1.85,1.87,1.99
MRMC,without,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
MRMC,standard,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01

10-4/
PRISM,without,2.58,2.57,2.62,2.80,2.64,2.54,2.55,2.60,2.61,2.60,2.55,2.79,2.58,2.58,2.53,2.60,2.56,2.61,2.65,2.60,2.52,2.60,2.60,2.71,2.65,2.59,2.67,2.56,2.54,2.53,2.60,2.57,2.55,2.66,2.66,2.61,2.55,2.64,2.63,2.51,2.58,2.62,2.57,2.59,2.54,2.57,2.56,2.61,2.55,2.86
PRISM,standard,2.31,2.35,2.38,2.32,2.28,2.33,2.37,2.43,2.63,2.30,2.37,2.36,2.46,2.33,2.40,2.37,2.39,2.46,2.33,2.40,2.32,2.40,2.44,2.35,2.48,2.39,2.44,2.36,2.39,2.38,2.46,2.44,2.47,2.40,2.54,2.35,2.35,2.35,2.46,2.37,2.36,2.29,2.34,2.47,2.32,2.40,2.37,2.39,2.40,2.38
MRMC,without,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.15,0.16,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
MRMC,standard,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.05,0.04,0.04,0.04,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04

10-5/
PRISM,without,4.60,4.39,4.45,4.47,4.42,4.71,4.48,4.78,4.42,4.46,4.44,4.43,4.44,4.43,4.52,4.40,4.44,4.47,4.41,4.46,4.49,4.52,4.51,4.42,4.51,4.46,4.46,4.47,4.52,4.42,4.42,4.55,4.45,4.43,4.45,4.53,4.72,4.45,4.56,4.41,4.44,4.44,4.51,4.48,4.47,4.55,4.43,4.45,4.38,4.77
PRISM,standard,3.33,3.36,3.53,3.32,3.68,3.50,3.27,3.33,3.53,3.48,3.32,3.31,3.49,3.33,3.32,3.50,3.27,3.52,3.44,3.25,3.26,3.23,3.33,3.55,3.46,3.41,3.36,3.49,3.35,3.35,3.38,3.50,3.26,3.59,3.29,3.37,3.49,3.38,3.64,3.31,3.34,3.48,3.43,3.36,3.36,3.46,3.34,3.54,3.31,3.24
MRMC,without,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.42,0.43,0.42,0.42,0.42,0.42,0.41,0.42,0.42,0.42,0.42,0.42,0.42,0.51,0.42,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.42,0.42,0.42,0.42,0.42,0.42,0.47,0.42,0.43,0.42,0.42,0.42,0.41,0.46,0.46,0.42,0.42,0.42
MRMC,standard,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.20,0.22,0.17,0.17

10-6/
PRISM,without,7.58,7.59,7.79,7.64,7.63,7.80,7.61,7.79,7.79,7.55,7.72,7.83,7.53,7.62,7.69,7.62,7.70,7.71,7.63,7.82,7.85,7.56,7.60,7.71,7.59,7.66,7.71,7.74,7.90,7.81,7.60,7.79,7.51,7.64,7.63,7.76,7.53,7.71,7.81,7.48,7.75,7.62,7.47,7.52,7.69,7.58,7.61,7.77,7.61,7.56
PRISM,standard,5.57,5.60,5.53,5.38,5.37,5.63,5.69,5.36,5.55,5.71,6.15,5.50,5.39,5.52,5.57,5.59,5.55,5.46,5.66,5.41,5.67,5.50,5.56,5.60,5.68,5.57,5.49,5.33,5.66,6.15,5.46,5.53,5.39,5.48,5.52,5.38,5.29,5.36,5.47,5.25,5.62,5.29,5.23,5.58,5.69,5.33,5.50,6.34,5.86,5.67
MRMC,without,1.47,1.49,1.48,1.56,1.47,1.47,1.48,1.47,1.47,1.50,1.54,1.48,1.48,1.47,1.48,1.46,1.48,1.56,1.46,1.48,1.46,1.47,1.47,1.47,1.56,1.48,1.47,1.50,1.48,1.50,1.53,1.51,1.48,1.48,1.47,1.48,1.48,1.54,1.48,1.48,1.47,1.49,1.49,1.52,1.54,1.47,1.48,1.47,1.48,1.49
MRMC,standard,0.55,0.54,0.55,0.59,0.58,0.54,0.54,0.55,0.56,0.55,0.54,0.55,0.54,0.55,0.55,0.54,0.55,0.57,0.55,0.54,0.55,0.58,0.60,0.54,0.55,0.54,0.55,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.55,0.55,0.54,0.54,0.63,0.55,0.54,0.55,0.54,0.54,0.55,0.54,0.54,0.55

15-3/
PRISM,without,2.62,2.64,2.71,2.69,2.66,2.68,2.66,2.67,2.71,2.83,2.67,2.62,2.72,2.68,2.80,2.67,2.63,2.87,2.73,2.66,2.73,2.66,2.67,2.61,2.64,2.69,2.69,2.75,2.68,2.74,2.62,2.73,2.73,2.71,2.71,2.70,2.68,2.62,2.70,2.72,2.68,2.71,2.60,2.62,2.77,2.67,2.82,2.80,2.67,2.65
PRISM,standard,2.40,2.43,2.45,2.39,2.47,2.38,2.39,2.51,2.36,2.36,2.44,2.36,2.36,2.49,2.44,2.41,2.50,2.41,2.41,2.43,2.41,2.38,2.52,2.32,2.38,2.41,2.40,2.39,2.38,2.39,2.42,2.55,2.34,2.49,2.41,2.35,2.37,2.42,2.40,2.38,2.48,2.51,2.38,2.45,2.45,2.49,2.41,2.37,2.41,2.37
MRMC,without,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
MRMC,standard,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04

15-4/
PRISM,without,7.04,7.10,6.83,7.09,7.02,6.92,6.99,7.06,6.89,7.03,6.72,7.14,6.98,7.08,7.18,6.94,7.02,7.14,7.04,6.98,6.83,6.75,7.05,7.01,6.92,6.98,6.89,6.95,6.93,6.80,7.02,6.96,7.12,7.09,7.08,6.86,7.07,6.80,6.86,6.96,6.82,6.95,6.94,7.00,7.05,7.01,7.08,7.05,7.14,6.70
