4-16/
PRISM,without,53.99,54.06,54.33,54.99,54.21,54.82,54.67,55.72,55.18,55.47,54.71,53.68,54.55,54.37,54.29,53.42,54.56,54.90,54.05,54.17,54.45,54.19,54.32,54.31,54.19,54.55,54.45,54.19,54.21,54.40,55.70,54.52,54.61,54.66,54.32,54.30,54.81,53.84,54.88,54.25,54.36,54.27,54.29,54.16,55.36,54.80,54.50,54.00,53.82,54.28
PRISM,standard,2.80,2.80,2.76,2.94,2.83,2.77,2.73,2.73,2.84,2.82,2.80,2.83,2.95,2.80,2.82,2.75,2.69,2.77,2.80,2.86,2.77,2.95,2.81,2.71,2.76,2.87,2.84,2.83,2.79,2.83,2.90,2.81,2.74,2.77,2.79,2.83,2.74,2.72,2.81,2.85,2.78,2.83,2.77,2.82,2.80,2.80,2.84,2.89,2.75,2.88
MRMC,without,4.55,4.55,4.63,4.47,4.55,4.53,4.54,4.67,4.59,4.70,4.47,4.54,4.62,4.64,4.58,4.64,4.55,4.57,4.63,4.54,4.61,4.56,4.63,4.57,4.57,4.58,4.50,4.61,4.61,4.66,4.57,4.66,4.53,4.59,4.50,4.55,4.66,4.58,4.71,4.54,4.68,4.57,4.63,4.53,4.55,4.54,4.54,4.68,4.55,4.67
MRMC,standard,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.22,0.21,0.20,0.19
4-2/
PRISM,without,1.23,1.22,1.36,1.24,1.22,1.22,1.20,1.22,1.22,1.24,1.22,1.19,1.21,1.21,1.24,1.21,1.22,1.23,1.34,1.22,1.23,1.23,1.22,1.23,1.22,1.24,1.23,1.33,1.23,1.24,1.22,1.22,1.26,1.22,1.22,1.23,1.29,1.23,1.20,1.21,1.20,1.24,1.23,1.23,1.21,1.24,1.22,1.21,1.22,1.24
PRISM,standard,1.22,1.18,1.23,1.18,1.20,1.22,1.21,1.21,1.23,1.23,1.22,1.20,1.22,1.23,1.19,1.21,1.21,1.22,1.22,1.23,1.22,1.36,1.18,1.21,1.21,1.22,1.23,1.21,1.23,1.21,1.32,1.21,1.21,1.26,1.19,1.20,1.24,1.22,1.19,1.29,1.19,1.22,1.21,1.22,1.19,1.23,1.24,1.20,1.23,1.23
MRMC,without,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MRMC,standard,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

4-4/
PRISM,without,1.35,1.36,1.39,1.34,1.35,1.52,1.35,1.34,1.37,1.38,1.35,1.37,1.37,1.35,1.46,1.39,1.37,1.38,1.38,1.37,1.36,1.33,1.35,1.48,1.41,1.36,1.37,1.37,1.34,1.39,1.37,1.36,1.46,1.46,1.38,1.39,1.40,1.38,1.39,1.35,1.35,1.39,1.40,1.38,1.39,1.31,1.35,1.40,1.34,1.44
