3/
PRISM,without,1.99,1.98,2.01,1.96,1.90,2.00,2.02,2.03,1.96,1.96,2.09,1.94,1.92,2.03,1.99,2.00,2.00,1.99,1.96,2.00,1.95,1.93,2.17,1.96,1.97,1.92,1.98,2.02,2.04,2.15,2.01,2.12,1.91,2.01,1.94,1.99,1.99,2.01,1.94,1.99,2.03,1.96,2.07,1.96,2.00,1.98,1.91,1.91,1.97,1.98
PRISM,standard,2.14,2.07,2.02,2.06,2.04,2.06,2.02,2.15,2.22,2.06,1.99,2.19,2.11,2.19,2.02,2.08,2.17,2.07,2.01,2.13,2.05,2.10,2.03,2.25,2.07,2.15,2.01,2.01,2.04,2.14,2.03,2.02,2.02,2.04,2.10,2.09,2.06,2.01,2.12,2.04,2.08,2.14,2.20,2.03,2.05,2.09,2.21,2.10,2.08,2.21
MRMC,without,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
MRMC,standard,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01

4/
PRISM,without,7.57,7.01,6.93,6.91,6.92,7.10,7.59,6.97,7.06,6.90,6.97,6.92,6.99,6.92,7.06,6.95,7.65,7.67,7.56,6.98,7.55,6.99,6.95,6.92,7.03,6.87,7.08,6.88,7.02,6.87,6.98,6.98,7.00,7.59,6.88,7.11,7.60,6.99,6.87,6.97,7.00,7.00,7.04,6.91,7.61,6.94,7.08,7.02,7.09,7.05
PRISM,standard,3.82,3.80,3.85,3.77,4.03,3.93,4.01,3.93,4.01,3.94,3.93,3.85,3.76,3.98,3.85,3.79,3.85,3.94,3.80,3.82,3.79,3.83,4.01,3.85,3.92,3.84,4.02,3.90,3.83,3.78,4.01,3.85,3.78,3.96,3.87,3.94,3.89,3.84,3.94,3.90,3.96,3.74,3.89,3.83,3.99,3.80,3.72,3.71,3.80,4.06
MRMC,without,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.17,0.18,0.14,0.14,0.14
MRMC,standard,0.10,0.09,0.10,0.09,0.10,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.10,0.10,0.10,0.09,0.09,0.09,0.10,0.10,0.09,0.10,0.09,0.10,0.10,0.10,0.09,0.09,0.09,0.10,0.09,0.10,0.09,0.10,0.10,0.10,0.10,0.09,0.10,0.09,0.10,0.09,0.09,0.10,0.10,0.09,0.09,0.10,0.10,0.09

5/
PRISM,without,68.29,68.22,67.63,68.08,68.43,68.25,68.06,67.78,67.96,68.19,68.84,67.71,67.81,68.73,68.08,67.85,68.46,67.95,67.46,68.21,68.26,68.12,68.16,68.25,68.28,68.63,68.01,67.44,67.80,68.87,67.67,67.94,67.49,67.48,67.87,68.10,67.40,67.23,68.57,67.72,67.10,68.43,67.56,67.67,67.12,67.43,68.56,69.28,68.02,68.02
PRISM,standard,11.89,12.31,12.56,11.91,12.06,12.43,12.35,11.89,12.41,12.09,12.31,12.22,11.80,12.32,12.38,11.98,12.22,12.38,11.99,11.92,12.29,12.39,12.52,11.94,12.36,12.03,12.22,12.15,11.80,12.04,12.21,12.03,12.36,11.88,12.31,11.94,12.08,12.28,11.98,11.95,12.49,11.92,12.30,12.14,12.25,12.25,12.25,12.32,12.36,12.29
MRMC,without,2.06,2.11,2.09,2.05,2.04,2.13,2.12,2.04,2.05,2.05,2.04,2.12,2.06,2.04,2.05,2.04,2.12,2.05,2.05,2.04,2.04,2.12,2.04,2.04,2.04,2.05,2.13,2.04,2.04,2.10,2.21,2.24,2.17,2.16,2.09,2.04,2.14,2.05,2.06,2.07,2.04,2.13,2.04,2.04,2.05,2.04,2.13,2.04,2.06,2.04
MRMC,standard,1.27,1.34,1.25,1.25,1.27,1.26,1.26,1.26,1.25,1.33,1.25,1.25,1.26,1.25,1.25,1.26,1.26,1.34,1.26,1.30,1.27,1.26,1.26,1.26,1.26,1.33,1.26,1.26,1.25,1.27,1.25,1.26,1.24,1.34,1.25,1.25,1.25,1.25,1.26,1.26,1.25,1.34,1.27,1.27,1.26,1.26,1.26,1.25,1.25,1.34

6/
PRISM,without,166.88,192.36,190.57,192.28,191.21,190.02,167.33,194.04,194.50,190.47,166.47,165.80,192.10,193.58,191.09,190.95,191.66,166.81,192.95,191.59,163.30,192.99,194.58,193.41,191.61,166.27,169.11,192.79,191.86,193.80,191.53,162.46,191.95,191.05,192.29,193.56,164.90,193.38,190.86,193.21,192.23,166.71,166.99,166.71,168.81,165.46,194.25,193.34,168.70,191.84
